文本,地点-同城/异地,地点-室内/室外,设备,使用时长,目的,充电对象,场景,充电宝类型,匹配场景,场景分类,场景大类,大类,文本_标注_语义极性,文本_标注_评论主体
我这里天有多冷，手机电量只剩百分之十一，户外插上充电宝，显示温度太低停止充电，想给电动车充电，只是选了一个充满自停，整个充电设备断电了，随后再扫码显示保险丝烧断了吹着寒风，拿着不充电的手机，满小区找能给电动车充电的插口，半个小时了，充上电了，回了家了，手机也能充电了，再暖和暖和 ... 全文,异地(推测),室外,单设备,短,休闲(推测),手机,小区户外,普通,自然风光观赏,户外运动与观光,运动与文旅,远行探索,负,用户
"耳机没电确实很烦人，但你已完成的锻炼很棒！&%推荐你试试提前充好电或带个充电宝。适合健身的歌单很多，像Spotify的""Workout""或Apple Music的""Fitness""。选你喜欢的歌，能让你更享受锻炼。有其他健身问题，随时问我哦~",同城,室内,多设备,短,休闲(推测),耳机(推测),健身锻炼,普通,健身,常规运动健身,运动与文旅,轻悦生活,负,用户
回复@仙女牌充电宝挂了机场因为,异地(推测),室内,单设备,短,休闲,手机,机场,普通,飞机,提及交通工具出行,交通出行,轻悦生活,正,充电宝
梦到暑假去德国，看错地图死活赶不到机场，后来发现机票也没买，吓醒了。继续睡竟然还衔接上了之前的梦，第二次吸取教训买了车票，但是下了飞机准备转火车去特里尔发现没有带转换插头，此时手机只剩10%电量，忘带充电宝也没换现金在身上又一次吓醒。,异地,室内,单设备,长,休闲,手机,梦境旅行,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,中,用户
2025第一飞  兜里装着充电器充电宝就走了 比我坐高铁都随意,异地(推测),室内,单设备,短,休闲(推测),手机,飞机出行,普通,飞机,提及交通工具出行,交通出行,轻悦生活,负,充电宝
记出差去杭州时享有的老公牌充电宝和老公牌拿铁,异地(推测),室内,单设备,长,办公,手机,出差,普通,出差,工作日常,工作与学习,高效办公,中,用户
#小米科技年货节#  最近想买个充电宝，要回家过年啦，坐高铁要花10个小时，部分高铁一节车厢只有一个插座，必须带一个。,异地(推测),室内,单设备,长(推测),休闲,手机(推测),高铁返乡,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,正,用户
在轻轨站安检搞反 充电宝被问好多次好大的 在天街看到飘雪 想拍照看不到了 打麻将睡过去醒来自摸三家 突然碎片记忆究竟是有发生过还是我梦到,同城(推测),室内(推测),单设备,长,休闲,手机(推测),商圈逛街(推测),普通,逛街,餐饮与逛街,社交与娱乐,轻悦生活,负,充电宝
已经有点半梦半醒直接梦游的情况了         昨晚凌晨三点半的时候我突然起身把插座上电脑台灯手机充电宝全拔了         然后我错觉是早上看了眼时间，才三点半，然后我就惊了说为什么会突然其来做这些事情,同城(推测),室内(推测),单设备,短,休闲,手机,居家睡眠,普通,泛家中,居家与手作,生活与居家,轻悦生活,正,用户
不要生气，不要生气&% 也就收了我一个充电宝而已， 也就让我喝了两瓶饮料而已， 谁让我这么不小心呢， 长记性了，下不再犯  成都成都双流国际机场T2航站楼贵宾厅F区,异地(推测),室内,单设备,短,休闲(推测),手机,机场贵宾厅,普通,飞机,提及交通工具出行,交通出行,轻悦生活,中,充电宝
明天出差要记得带充电宝啊啊啊,异地(推测),室内,单设备,长,办公(推测),手机,出差,普通,出差,工作日常,工作与学习,高效办公,正,充电宝
